order_id,customer_id,customer_unique_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state,customer_lat,customer_lng,has_payment_record,payment_total,payment_record_count,payment_method_count,primary_payment_type,max_payment_installments,is_multi_payment_record,is_multi_payment_method,has_item_record,item_count,distinct_product_count,distinct_seller_count,product_value,freight_value,order_value_including_freight,freight_ratio,average_item_price,total_weight_g,total_volume_cm3,missing_product_attribute_items,earliest_shipping_limit_date,latest_shipping_limit_date,primary_category_name,has_review_record,selected_review_id,review_score,is_low_score,is_strict_negative_score,has_review_text,review_response_hours,payment_approval_hours,handover_hours,shipping_hours,total_fulfillment_hours,is_delivery_analysis_eligible,has_complete_fulfillment_time,delivery_variance_days,is_late_delivery,late_days,early_days
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,871766c5855e863f6eccc05f988b23cb,delivered,"2017-09-13 08:59:02","2017-09-13 09:45:35","2017-09-19 18:34:16","2017-09-20 23:43:48","2017-09-29 00:00:00",28013,"campos dos goytacazes",RJ,-21.76277534706022596644,-41.30963269524094471141,1,72.19,1,1,credit_card,2,0,0,1,1,1,1,58.90,13.29,72.19,0.184098,58.90,650.00,3528.00,0,"2017-09-19 09:45:35","2017-09-19 09:45:35",cool_stuff,1,97ca439bc427b48bc1cd7177abe71365,5,0,0,1,34.95,0.78,152.81,29.16,182.75,1,1,-9,0,0,9
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,eb28e67c4c0b83846050ddfb8a35d051,delivered,"2017-04-26 10:53:06","2017-04-26 11:05:13","2017-05-04 14:35:00","2017-05-12 16:04:24","2017-05-15 00:00:00",15775,"santa fe do sul",SP,-20.22052678746203653134,-50.90342436588621104360,1,259.83,1,1,credit_card,3,0,0,1,1,1,1,239.90,19.93,259.83,0.076704,239.90,30000.00,60000.00,0,"2017-05-03 11:05:13","2017-05-03 11:05:13",pet_shop,1,7b07bacd811c4117b742569b04ce3580,4,0,0,0,59.57,0.20,195.50,193.49,389.19,1,1,-3,0,0,3
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,3818d81c6709e39d06b2738a8d3a2474,delivered,"2018-01-14 14:33:31","2018-01-14 14:48:30","2018-01-16 12:36:48","2018-01-22 13:19:16","2018-02-05 00:00:00",35661,"para de minas",MG,-19.87030466418016639732,-44.59332570290274350000,1,216.87,1,1,credit_card,5,0,0,1,1,1,1,199.00,17.87,216.87,0.082400,199.00,3050.00,14157.00,0,"2018-01-18 14:48:30","2018-01-18 14:48:30",furniture_decor,1,0c5b33dea94867d1ac402749e5438e8b,5,0,0,1,16.11,0.25,45.81,144.71,190.76,1,1,-14,0,0,14
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,af861d436cfc08b2c2ddefd0ba074622,delivered,"2018-08-08 10:00:35","2018-08-08 10:10:18","2018-08-10 13:28:00","2018-08-14 13:32:39","2018-08-20 00:00:00",12952,atibaia,SP,-23.08992524585617955556,-46.61165422508774588889,1,25.78,1,1,credit_card,2,0,0,1,1,1,1,12.99,12.79,25.78,0.496121,12.99,200.00,2400.00,0,"2018-08-15 10:10:18","2018-08-15 10:10:18",perfumery,1,f4028d019cb58564807486a6aaf33817,4,0,0,0,16.65,0.16,51.30,96.08,147.53,1,1,-6,0,0,6
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,64b576fb70d441e8f1b2d7d446e483c5,delivered,"2017-02-04 13:57:51","2017-02-04 14:10:13","2017-02-16 09:46:09","2017-03-01 16:42:31","2017-03-17 00:00:00",13226,"varzea paulista",SP,-23.24340153019639625000,-46.82761412611823750000,1,218.04,1,1,credit_card,3,0,0,1,1,1,1,199.90,18.14,218.04,0.083196,199.90,3750.00,42000.00,0,"2017-02-13 13:57:51","2017-02-13 13:57:51",garden_tools,1,940144190dcba6351888cafa43f3a3a5,5,0,0,1,34.92,0.21,283.60,318.94,602.74,1,1,-16,0,0,16
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,85c835d128beae5b4ce8602c491bf385,delivered,"2017-05-15 21:42:34","2017-05-17 03:55:27","2017-05-17 11:05:55","2017-05-22 13:44:35","2017-06-06 00:00:00",38017,uberaba,MG,-19.74019853574192912500,-47.92479298786424660938,1,34.59,1,1,boleto,1,0,0,1,1,1,1,21.90,12.69,34.59,0.366869,21.90,450.00,2880.00,0,"2017-05-23 03:55:27","2017-05-23 03:55:27",housewares,1,5e4e50af3b7960b7a10d86ec869509e8,4,0,0,0,43.00,30.21,7.17,122.64,160.03,1,1,-15,0,0,15
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,635d9ac1680f03288e72ada3a1035803,delivered,"2017-12-10 11:53:48","2017-12-10 12:10:31","2017-12-12 01:07:48","2017-12-18 22:03:38","2018-01-04 00:00:00",16700,guararapes,SP,-21.25058666062857698678,-50.64644503925420064317,1,31.75,1,1,credit_card,1,0,0,1,1,1,1,19.90,11.85,31.75,0.373228,19.90,200.00,2700.00,0,"2017-12-14 12:10:31","2017-12-14 12:10:31",telephony,1,0381de7572d99d75230ce91207807265,4,0,0,0,242.67,0.28,36.95,164.93,202.16,1,1,-17,0,0,17
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,fda4476abb6307ab3c415b7e6d026526,delivered,"2018-07-04 12:08:27","2018-07-05 16:35:48","2018-07-05 12:15:00","2018-07-09 14:04:07","2018-07-25 00:00:00",11702,"praia grande",SP,-24.01439467431420565432,-46.43835831981762392099,1,880.75,1,1,credit_card,10,0,0,1,1,1,1,810.00,70.75,880.75,0.080329,810.00,13805.00,118125.00,0,"2018-07-10 12:30:45","2018-07-10 12:30:45",garden_tools,1,f0733ebeb51b637dfdc953983c867b89,5,0,0,0,44.24,28.46,-4.35,97.82,121.93,1,1,-16,0,0,16
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,639d23421f5517f69d0c3d6e6564cf0e,delivered,"2018-03-19 18:40:33","2018-03-20 18:35:21","2018-03-28 00:37:42","2018-03-29 18:17:31","2018-03-29 00:00:00",11075,santos,SP,-23.95460047631286643243,-46.33773115347320241278,1,157.60,1,1,credit_card,3,0,0,1,1,1,1,145.95,11.65,157.60,0.073921,145.95,2000.00,5760.00,0,"2018-03-26 18:31:29","2018-03-26 18:31:29",health_beauty,1,67b1ab8f3ec19d5a90f153f21757d3a1,1,1,1,1,72.87,23.91,174.04,41.66,239.62,1,1,0,0,0,0
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,0782c41380992a5a533489063df0eef6,delivered,"2018-07-02 13:59:39","2018-07-02 14:10:56","2018-07-03 14:25:00","2018-07-04 17:28:31","2018-07-23 00:00:00",06636,jandira,SP,-23.55661994316518442424,-46.89904059193100590909,1,65.39,1,1,credit_card,1,0,0,1,1,1,1,53.99,11.40,65.39,0.174339,53.99,850.00,1827.00,0,"2018-07-06 14:10:56","2018-07-06 14:10:56",books_technical,1,5c0b7e34ed85ec659bb064902d878e7a,4,0,0,0,23.28,0.19,24.23,27.06,51.48,1,1,-19,0,0,19
