order_id,seller_id,order_status,order_purchase_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_lat,customer_lng,seller_zip_code_prefix,seller_city,seller_state,seller_lat,seller_lng,is_cross_state,approximate_distance_km,seller_item_count,seller_distinct_product_count,seller_product_value,seller_freight_value,seller_value_including_freight,seller_freight_ratio,seller_total_weight_g,seller_total_volume_cm3,missing_product_attribute_items,primary_category_name,earliest_shipping_limit_date,latest_shipping_limit_date,order_delivered_carrier_date,handover_vs_earliest_limit_hours,handover_vs_latest_limit_hours,is_any_item_handover_late,is_all_items_handover_late,order_delivered_customer_date,order_estimated_delivery_date,is_delivery_analysis_eligible,delivery_variance_days,is_late_delivery,review_score,is_low_score,is_strict_negative_score,order_distinct_seller_count,is_multi_seller_order
00010242fe8c5a6d1ba2dd792cb16214,48436dade18ac8b2bce089ec2a041202,delivered,"2017-09-13 08:59:02",871766c5855e863f6eccc05f988b23cb,28013,"campos dos goytacazes",RJ,-21.76277534706022596644,-41.30963269524094471141,27277,"volta redonda",SP,-22.49695278988366389831,-44.12749200991617406780,1,301.50,1,1,58.90,13.29,72.19,0.184098,650.00,3528.00,0,cool_stuff,"2017-09-19 09:45:35","2017-09-19 09:45:35","2017-09-19 18:34:16",8.81,8.81,1,1,"2017-09-20 23:43:48","2017-09-29 00:00:00",1,-9,0,5,0,0,1,0
00018f77f2f0320c557190d7a144bdd3,dd7ddc04e1b6c2c614352b383efe2d36,delivered,"2017-04-26 10:53:06",eb28e67c4c0b83846050ddfb8a35d051,15775,"santa fe do sul",SP,-20.22052678746203653134,-50.90342436588621104360,03471,"sao paulo",SP,-23.56509561905049251282,-46.51856509433425948718,0,585.56,1,1,239.90,19.93,259.83,0.076704,30000.00,60000.00,0,pet_shop,"2017-05-03 11:05:13","2017-05-03 11:05:13","2017-05-04 14:35:00",27.50,27.50,1,1,"2017-05-12 16:04:24","2017-05-15 00:00:00",1,-3,0,4,0,0,1,0
000229ec398224ef6ca0657da4fc703e,5b51032eddd242adc84c38acab88f23d,delivered,"2018-01-14 14:33:31",3818d81c6709e39d06b2738a8d3a2474,35661,"para de minas",MG,-19.87030466418016639732,-44.59332570290274350000,37564,"borda da mata",MG,-22.26258413023528895775,-46.17112394057629845070,0,312.34,1,1,199.00,17.87,216.87,0.082400,3050.00,14157.00,0,furniture_decor,"2018-01-18 14:48:30","2018-01-18 14:48:30","2018-01-16 12:36:48",-50.20,-50.20,0,0,"2018-01-22 13:19:16","2018-02-05 00:00:00",1,-14,0,5,0,0,1,0
00024acbcdf0a6daa1e931b038114c75,9d7a1d34a5052409006425275ba1c2b4,delivered,"2018-08-08 10:00:35",af861d436cfc08b2c2ddefd0ba074622,12952,atibaia,SP,-23.08992524585617955556,-46.61165422508774588889,14403,franca,SP,-20.55362362743643714840,-47.38735911880555495434,0,293.17,1,1,12.99,12.79,25.78,0.496121,200.00,2400.00,0,perfumery,"2018-08-15 10:10:18","2018-08-15 10:10:18","2018-08-10 13:28:00",-116.71,-116.71,0,0,"2018-08-14 13:32:39","2018-08-20 00:00:00",1,-6,0,4,0,0,1,0
00042b26cf59d7ce69dfabb4e55b4fd9,df560393f3a51e74553ab94004ba5c87,delivered,"2017-02-04 13:57:51",64b576fb70d441e8f1b2d7d446e483c5,13226,"varzea paulista",SP,-23.24340153019639625000,-46.82761412611823750000,87900,loanda,PR,-22.92938378520930612605,-53.13587259427023878992,1,646.16,1,1,199.90,18.14,218.04,0.083196,3750.00,42000.00,0,garden_tools,"2017-02-13 13:57:51","2017-02-13 13:57:51","2017-02-16 09:46:09",67.81,67.81,1,1,"2017-03-01 16:42:31","2017-03-17 00:00:00",1,-16,0,5,0,0,1,0
00048cc3ae777c65dbb7d2a0634bc1ea,6426d21aca402a131fc0a5d0960a3c90,delivered,"2017-05-15 21:42:34",85c835d128beae5b4ce8602c491bf385,38017,uberaba,MG,-19.74019853574192912500,-47.92479298786424660938,14091,"ribeirao preto",SP,-21.19012799690351865269,-47.78790131270501425749,1,161.85,1,1,21.90,12.69,34.59,0.366869,450.00,2880.00,0,housewares,"2017-05-23 03:55:27","2017-05-23 03:55:27","2017-05-17 11:05:55",-136.83,-136.83,0,0,"2017-05-22 13:44:35","2017-06-06 00:00:00",1,-15,0,4,0,0,1,0
00054e8431b9d7675808bcb819fb4a32,7040e82f899a04d1b434b795a43b4617,delivered,"2017-12-10 11:53:48",635d9ac1680f03288e72ada3a1035803,16700,guararapes,SP,-21.25058666062857698678,-50.64644503925420064317,01026,"sao paulo",SP,-23.53965712727094517949,-46.63188421270579930769,0,484.86,1,1,19.90,11.85,31.75,0.373228,200.00,2700.00,0,telephony,"2017-12-14 12:10:31","2017-12-14 12:10:31","2017-12-12 01:07:48",-59.05,-59.05,0,0,"2017-12-18 22:03:38","2018-01-04 00:00:00",1,-17,0,4,0,0,1,0
000576fe39319847cbb9d288c5617fa6,5996cddab893a4652a15592fb58ab8db,delivered,"2018-07-04 12:08:27",fda4476abb6307ab3c415b7e6d026526,11702,"praia grande",SP,-24.01439467431420565432,-46.43835831981762392099,19010,"presidente prudente",SP,-22.12273521177678105785,-51.38636933470502047107,0,548.11,1,1,810.00,70.75,880.75,0.080329,13805.00,118125.00,0,garden_tools,"2018-07-10 12:30:45","2018-07-10 12:30:45","2018-07-05 12:15:00",-120.26,-120.26,0,0,"2018-07-09 14:04:07","2018-07-25 00:00:00",1,-16,0,5,0,0,1,0
0005a1a1728c9d785b8e2b08b904576c,a416b6a846a11724393025641d4edd5e,delivered,"2018-03-19 18:40:33",639d23421f5517f69d0c3d6e6564cf0e,11075,santos,SP,-23.95460047631286643243,-46.33773115347320241278,03702,"sao paulo",SP,-23.51597790023810206250,-46.54737185794935550000,0,53.24,1,1,145.95,11.65,157.60,0.073921,2000.00,5760.00,0,health_beauty,"2018-03-26 18:31:29","2018-03-26 18:31:29","2018-03-28 00:37:42",30.10,30.10,1,1,"2018-03-29 18:17:31","2018-03-29 00:00:00",1,0,0,1,1,1,1,0
0005f50442cb953dcd1d21e1fb923495,ba143b05f0110f0dc71ad71b4466ce92,delivered,"2018-07-02 13:59:39",0782c41380992a5a533489063df0eef6,06636,jandira,SP,-23.55661994316518442424,-46.89904059193100590909,02274,"sao paulo",SP,-23.46705177563328918750,-46.58792075620117456250,0,33.25,1,1,53.99,11.40,65.39,0.174339,850.00,1827.00,0,books_technical,"2018-07-06 14:10:56","2018-07-06 14:10:56","2018-07-03 14:25:00",-71.77,-71.77,0,0,"2018-07-04 17:28:31","2018-07-23 00:00:00",1,-19,0,4,0,0,1,0
