order_id,order_item_id,order_status,order_purchase_timestamp,purchase_month,customer_id,customer_unique_id,customer_city,customer_state,product_id,category_name,product_weight_g,product_volume_cm3,seller_id,seller_city,seller_state,is_cross_state,shipping_limit_date,item_price,item_freight_value,item_value_including_freight,item_freight_ratio,is_delivered,is_canceled_or_unavailable,has_complete_product_dimension,has_complete_seller_dimension
00010242fe8c5a6d1ba2dd792cb16214,1,delivered,"2017-09-13 08:59:02",2017-09-01,3ce436f183e68e07877b285a838db11a,871766c5855e863f6eccc05f988b23cb,"campos dos goytacazes",RJ,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,650,3528.00,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,1,"2017-09-19 09:45:35",58.90,13.29,72.19,0.184098,1,0,1,1
00018f77f2f0320c557190d7a144bdd3,1,delivered,"2017-04-26 10:53:06",2017-04-01,f6dd3ec061db4e3987629fe6b26e5cce,eb28e67c4c0b83846050ddfb8a35d051,"santa fe do sul",SP,e5f2d52b802189ee658865ca93d83a8f,pet_shop,30000,60000.00,dd7ddc04e1b6c2c614352b383efe2d36,"sao paulo",SP,0,"2017-05-03 11:05:13",239.90,19.93,259.83,0.076704,1,0,1,1
000229ec398224ef6ca0657da4fc703e,1,delivered,"2018-01-14 14:33:31",2018-01-01,6489ae5e4333f3693df5ad4372dab6d3,3818d81c6709e39d06b2738a8d3a2474,"para de minas",MG,c777355d18b72b67abbeef9df44fd0fd,furniture_decor,3050,14157.00,5b51032eddd242adc84c38acab88f23d,"borda da mata",MG,0,"2018-01-18 14:48:30",199.00,17.87,216.87,0.082400,1,0,1,1
00024acbcdf0a6daa1e931b038114c75,1,delivered,"2018-08-08 10:00:35",2018-08-01,d4eb9395c8c0431ee92fce09860c5a06,af861d436cfc08b2c2ddefd0ba074622,atibaia,SP,7634da152a4610f1595efa32f14722fc,perfumery,200,2400.00,9d7a1d34a5052409006425275ba1c2b4,franca,SP,0,"2018-08-15 10:10:18",12.99,12.79,25.78,0.496121,1,0,1,1
00042b26cf59d7ce69dfabb4e55b4fd9,1,delivered,"2017-02-04 13:57:51",2017-02-01,58dbd0b2d70206bf40e62cd34e84d795,64b576fb70d441e8f1b2d7d446e483c5,"varzea paulista",SP,ac6c3623068f30de03045865e4e10089,garden_tools,3750,42000.00,df560393f3a51e74553ab94004ba5c87,loanda,PR,1,"2017-02-13 13:57:51",199.90,18.14,218.04,0.083196,1,0,1,1
00048cc3ae777c65dbb7d2a0634bc1ea,1,delivered,"2017-05-15 21:42:34",2017-05-01,816cbea969fe5b689b39cfc97a506742,85c835d128beae5b4ce8602c491bf385,uberaba,MG,ef92defde845ab8450f9d70c526ef70f,housewares,450,2880.00,6426d21aca402a131fc0a5d0960a3c90,"ribeirao preto",SP,1,"2017-05-23 03:55:27",21.90,12.69,34.59,0.366869,1,0,1,1
00054e8431b9d7675808bcb819fb4a32,1,delivered,"2017-12-10 11:53:48",2017-12-01,32e2e6ab09e778d99bf2e0ecd4898718,635d9ac1680f03288e72ada3a1035803,guararapes,SP,8d4f2bb7e93e6710a28f34fa83ee7d28,telephony,200,2700.00,7040e82f899a04d1b434b795a43b4617,"sao paulo",SP,0,"2017-12-14 12:10:31",19.90,11.85,31.75,0.373228,1,0,1,1
000576fe39319847cbb9d288c5617fa6,1,delivered,"2018-07-04 12:08:27",2018-07-01,9ed5e522dd9dd85b4af4a077526d8117,fda4476abb6307ab3c415b7e6d026526,"praia grande",SP,557d850972a7d6f792fd18ae1400d9b6,garden_tools,13805,118125.00,5996cddab893a4652a15592fb58ab8db,"presidente prudente",SP,0,"2018-07-10 12:30:45",810.00,70.75,880.75,0.080329,1,0,1,1
0005a1a1728c9d785b8e2b08b904576c,1,delivered,"2018-03-19 18:40:33",2018-03-01,16150771dfd4776261284213b89c304e,639d23421f5517f69d0c3d6e6564cf0e,santos,SP,310ae3c140ff94b03219ad0adc3c778f,health_beauty,2000,5760.00,a416b6a846a11724393025641d4edd5e,"sao paulo",SP,0,"2018-03-26 18:31:29",145.95,11.65,157.60,0.073921,1,0,1,1
0005f50442cb953dcd1d21e1fb923495,1,delivered,"2018-07-02 13:59:39",2018-07-01,351d3cb2cee3c7fd0af6616c82df21d3,0782c41380992a5a533489063df0eef6,jandira,SP,4535b0e1091c278dfd193e5a1d63b39f,books_technical,850,1827.00,ba143b05f0110f0dc71ad71b4466ce92,"sao paulo",SP,0,"2018-07-06 14:10:56",53.99,11.40,65.39,0.174339,1,0,1,1
